NAME	carbon catabolite activation of transcription from RNA polymerase II promoter	transcription regulatory region sequence-specific DNA binding	RNA polymerase II transcription factor activity, sequence-specific DNA binding	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	RNA polymerase II transcription factor binding	transcriptional repressor activity, RNA polymerase II transcription factor binding	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	DNA binding	alcohol metabolic process	regulation of transcription from RNA polymerase II promoter	ergosterol biosynthetic process	post-Golgi vesicle-mediated transport	response to heat	regulation of cellular ketone metabolic process	positive regulation of macromolecule metabolic process	organic acid catabolic process	positive regulation of cellular catabolic process	response to nutrient levels	cellular response to nutrient levels	cellular response to heat	positive regulation of transcription from RNA polymerase II promoter in response to stress	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter in response to stress	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	cellular amine metabolic process	positive regulation of cellular amino acid metabolic process	positive regulation of lipid metabolic process	positive regulation of transcription from RNA polymerase II promoter	transition metal ion binding	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
ergosterol biosynthetic process	-0.12396694214876064	0.12446351931330447	0.04620462046204627	0.12446351931330447	-0.11214953271028093	-0.09677419354838643	0.14611872146118715	-0.010335917312661575	0.7190082644628099	-0.010335917312661575	1.0	-0.11214953271028093	-0.12396694214876064	-0.12396694214876064	0.024169184290030194	-0.12396694214876064	-0.11214953271028093	0.19895287958115188	-0.14723926380368133	-0.09677419354838643	-0.11214953271028093	0.0881226053639848	-0.14093959731543676	-0.11214953271028093	-0.09677419354838643	-0.09677419354838643	0.6344086021505378	0.03470031545741327	0.17647058823529416	-0.14093959731543676
post-Golgi vesicle-mediated transport	-0.15037593984962452	-0.21940928270042206	-0.23841059602649	-0.21940928270042206	-0.1333333333333332	-0.11214953271028093	-0.2142857142857141	-0.2526315789473685	-0.15037593984962452	-0.2526315789473685	-0.11214953271028093	1.0	-0.15037593984962452	-0.15037593984962452	-0.24390243902439016	-0.15037593984962452	-0.1333333333333332	-0.20202020202020185	-0.18604651162790684	-0.11214953271028093	-0.1333333333333332	-0.22813688212927766	-0.17610062893081796	-0.1333333333333332	-0.11214953271028093	-0.11214953271028093	-0.11214953271028093	-0.2412698412698412	-0.23529411764705888	-0.17610062893081796
response to heat	-0.17241379310344881	-0.128630705394191	-0.18604651162790695	-0.128630705394191	-0.15037593984962452	0.1570247933884295	-0.2620087336244546	-0.04825737265415546	-0.17241379310344881	-0.04825737265415546	-0.12396694214876064	-0.15037593984962452	1.0	-0.17241379310344881	-0.0984615384615385	-0.17241379310344881	-0.15037593984962452	-0.07804878048780516	-0.0331491712707184	0.7190082644628099	0.3609022556390975	-0.02641509433962256	0.3964497041420119	0.3609022556390975	-0.12396694214876064	-0.12396694214876064	-0.12396694214876064	-0.08626198083067092	-0.2941176470588235	-0.005917159763313701
regulation of cellular ketone metabolic process	0.29655172413793074	0.15352697095435683	0.26578073089701	0.2946058091286307	0.10526315789473653	0.43801652892561965	0.1834061135371177	0.13404825737265413	0.06206896551724104	0.13404825737265413	-0.12396694214876064	-0.15037593984962452	-0.17241379310344881	1.0	0.2153846153846154	0.5310344827586205	0.6165413533834585	0.25365853658536575	0.3425414364640884	-0.12396694214876064	-0.15037593984962452	0.10188679245283007	-0.20710059171597653	-0.15037593984962452	0.7190082644628099	0.7190082644628099	0.1570247933884295	0.23961661341853036	0.17647058823529416	0.1952662721893491
positive regulation of macromolecule metabolic process	0.2153846153846154	0.6046511627906975	0.6433566433566433	0.6046511627906975	0.17073170731707324	0.1268882175226586	0.5526315789473683	0.4925373134328357	0.11076923076923077	0.6194029850746268	0.024169184290030194	-0.24390243902439016	-0.0984615384615385	0.2153846153846154	1.0	0.2153846153846154	0.17073170731707324	0.45161290322580633	0.35443037974683533	0.024169184290030194	0.17073170731707324	0.5966101694915253	0.09404388714733528	-0.03658536585365851	0.1268882175226586	0.1268882175226586	0.1268882175226586	0.9399293286219081	0.3529411764705884	0.3072100313479625
organic acid catabolic process	0.29655172413793074	0.15352697095435683	0.26578073089701	0.15352697095435683	0.10526315789473653	0.43801652892561965	0.03493449781659359	0.13404825737265413	0.06206896551724104	0.13404825737265413	-0.12396694214876064	-0.15037593984962452	-0.17241379310344881	0.5310344827586205	0.2153846153846154	1.0	0.6165413533834585	0.25365853658536575	0.3425414364640884	-0.12396694214876064	-0.15037593984962452	0.23018867924528313	-0.20710059171597653	-0.15037593984962452	0.43801652892561965	0.43801652892561965	0.1570247933884295	0.23961661341853036	0.17647058823529416	0.1952662721893491
positive regulation of cellular catabolic process	0.10526315789473653	0.2109704641350211	0.21192052980132456	0.2109704641350211	0.1500000000000001	0.5233644859813081	0.0892857142857145	0.10526315789473684	0.10526315789473653	0.10526315789473684	-0.11214953271028093	-0.1333333333333332	-0.15037593984962452	0.6165413533834585	0.17073170731707324	0.6165413533834585	1.0	0.14141414141414163	0.20930232558139528	-0.11214953271028093	0.1500000000000001	0.1596958174904943	0.03773584905660356	-0.1333333333333332	0.5233644859813081	0.5233644859813081	0.20560747663551363	0.19047619047619052	0.0	0.2515723270440251
response to nutrient levels	0.5853658536585367	0.5440613026819924	0.42567567567567555	0.41379310344827586	0.31313131313131337	0.19895287958115188	0.33070866141732286	0.2958579881656805	0.4195121951219512	0.2958579881656805	0.19895287958115188	-0.20202020202020185	-0.07804878048780516	0.25365853658536575	0.45161290322580633	0.25365853658536575	0.14141414141414163	1.0	0.8495575221238938	0.020942408376963338	-0.030303030303030117	0.44363636363636383	-0.16438356164383583	-0.030303030303030117	0.020942408376963338	0.020942408376963338	0.37696335078534043	0.4950495049504952	0.23529411764705888	0.6118721461187215
cellular response to nutrient levels	0.7182320441988951	0.3952569169960476	0.31543624161073813	0.26086956521739146	0.40697674418604657	0.2699386503067484	0.16393442622950832	0.2272727272727273	0.15469613259668502	0.2272727272727273	-0.14723926380368133	-0.18604651162790684	-0.0331491712707184	0.3425414364640884	0.35443037974683533	0.3425414364640884	0.20930232558139528	0.8495575221238938	1.0	0.06134969325153353	0.011627906976744365	0.30996309963099633	-0.11055276381909558	0.011627906976744365	0.06134969325153353	0.06134969325153353	0.06134969325153353	0.3908794788273617	0.11764705882352944	0.7437185929648243
cellular response to heat	-0.12396694214876064	-0.021459227467811495	-0.06600660066006596	-0.021459227467811495	-0.11214953271028093	0.2688172043010757	-0.16438356164383583	-0.010335917312661575	-0.12396694214876064	-0.010335917312661575	-0.09677419354838643	-0.11214953271028093	0.7190082644628099	-0.12396694214876064	0.024169184290030194	-0.12396694214876064	-0.11214953271028093	0.020942408376963338	0.06134969325153353	1.0	0.5233644859813081	-0.042145593869731705	0.3154362416107383	0.20560747663551363	-0.09677419354838643	-0.09677419354838643	-0.09677419354838643	0.03470031545741327	-0.17647058823529416	0.08724832214765067
positive regulation of transcription from RNA polymerase II promoter in response to stress	-0.15037593984962452	0.2109704641350211	0.0993377483443709	0.2109704641350211	-0.1333333333333332	0.20560747663551363	0.0892857142857145	0.10526315789473684	-0.15037593984962452	0.10526315789473684	-0.11214953271028093	-0.1333333333333332	0.3609022556390975	-0.15037593984962452	0.17073170731707324	-0.15037593984962452	0.1500000000000001	-0.030303030303030117	0.011627906976744365	0.5233644859813081	1.0	0.1596958174904943	0.6792452830188679	0.1500000000000001	-0.11214953271028093	-0.11214953271028093	-0.11214953271028093	0.19047619047619052	-0.11764705882352944	0.2515723270440251
sequence-specific DNA binding	0.23018867924528313	0.8790035587188612	0.7079037800687284	0.7580071174377224	0.1596958174904943	-0.042145593869731705	0.6953405017921148	0.4950495049504952	0.10188679245283007	0.4950495049504952	0.0881226053639848	-0.22813688212927766	-0.02641509433962256	0.10188679245283007	0.5966101694915253	0.23018867924528313	0.1596958174904943	0.44363636363636383	0.30996309963099633	-0.042145593869731705	0.1596958174904943	1.0	0.24163568773234212	0.1596958174904943	-0.042145593869731705	-0.042145593869731705	0.21839080459770108	0.651877133105802	0.4117647058823528	0.36802973977695164
regulation of transcription from RNA polymerase II promoter in response to stress	-0.20710059171597653	0.18072289156626503	0.1471571906354516	0.18072289156626503	-0.17610062893081796	0.08724832214765067	0.07531380753138059	0.1949860724233983	-0.20710059171597653	0.1949860724233983	-0.14093959731543676	-0.17610062893081796	0.3964497041420119	-0.20710059171597653	0.09404388714733528	-0.20710059171597653	0.03773584905660356	-0.16438356164383583	-0.11055276381909558	0.3154362416107383	0.6792452830188679	0.24163568773234212	1.0	0.6792452830188679	-0.14093959731543676	-0.14093959731543676	-0.14093959731543676	0.11974110032362464	-0.05882352941176472	0.1005291005291004
regulation of transcription from RNA polymerase II promoter in response to oxidative stress	-0.15037593984962452	0.0675105485232067	0.0993377483443709	0.0675105485232067	-0.1333333333333332	-0.11214953271028093	-0.062499999999999806	0.10526315789473684	-0.15037593984962452	0.10526315789473684	-0.11214953271028093	-0.1333333333333332	0.3609022556390975	-0.15037593984962452	-0.03658536585365851	-0.15037593984962452	-0.1333333333333332	-0.030303030303030117	0.011627906976744365	0.20560747663551363	0.1500000000000001	0.1596958174904943	0.6792452830188679	1.0	-0.11214953271028093	-0.11214953271028093	-0.11214953271028093	-0.025396825396825376	0.0	0.03773584905660356
cellular amine metabolic process	-0.12396694214876064	-0.021459227467811495	0.1584158415841585	0.12446351931330447	-0.11214953271028093	0.2688172043010757	0.14611872146118715	0.0775193798449612	-0.12396694214876064	0.0775193798449612	-0.09677419354838643	-0.11214953271028093	-0.12396694214876064	0.7190082644628099	0.1268882175226586	0.43801652892561965	0.5233644859813081	0.020942408376963338	0.06134969325153353	-0.09677419354838643	-0.11214953271028093	-0.042145593869731705	-0.14093959731543676	-0.11214953271028093	1.0	1.0	-0.09677419354838643	0.14195583596214506	0.17647058823529416	-0.14093959731543676
positive regulation of cellular amino acid metabolic process	-0.12396694214876064	-0.021459227467811495	0.1584158415841585	0.12446351931330447	-0.11214953271028093	0.2688172043010757	0.14611872146118715	0.0775193798449612	-0.12396694214876064	0.0775193798449612	-0.09677419354838643	-0.11214953271028093	-0.12396694214876064	0.7190082644628099	0.1268882175226586	0.43801652892561965	0.5233644859813081	0.020942408376963338	0.06134969325153353	-0.09677419354838643	-0.11214953271028093	-0.042145593869731705	-0.14093959731543676	-0.11214953271028093	1.0	1.0	-0.09677419354838643	0.14195583596214506	0.17647058823529416	-0.14093959731543676
positive regulation of lipid metabolic process	0.1570247933884295	0.27038626609442046	0.1584158415841585	0.27038626609442046	0.20560747663551363	0.2688172043010757	0.14611872146118715	0.0775193798449612	0.7190082644628099	0.0775193798449612	0.6344086021505378	-0.11214953271028093	-0.12396694214876064	0.1570247933884295	0.1268882175226586	0.1570247933884295	0.20560747663551363	0.37696335078534043	0.06134969325153353	-0.09677419354838643	-0.11214953271028093	0.21839080459770108	-0.14093959731543676	-0.11214953271028093	-0.09677419354838643	-0.09677419354838643	1.0	0.14195583596214506	0.05882352941176472	0.08724832214765067
positive regulation of transcription from RNA polymerase II promoter	0.23961661341853036	0.6565656565656565	0.7038327526132403	0.6565656565656565	0.19047619047619052	0.14195583596214506	0.6020066889632109	0.5672727272727274	0.1309904153354632	0.690909090909091	0.03470031545741327	-0.2412698412698412	-0.08626198083067092	0.23961661341853036	0.9399293286219081	0.23961661341853036	0.19047619047619052	0.4950495049504952	0.3908794788273617	0.03470031545741327	0.19047619047619052	0.651877133105802	0.11974110032362464	-0.025396825396825376	0.14195583596214506	0.14195583596214506	0.14195583596214506	1.0	0.4117647058823528	0.3398058252427183
transition metal ion binding	0.05882352941176472	0.4117647058823528	0.7058823529411764	0.4117647058823528	0.0	-0.05882352941176472	0.5882352941176472	0.3529411764705883	0.05882352941176472	0.3529411764705883	0.17647058823529416	-0.23529411764705888	-0.2941176470588235	0.17647058823529416	0.3529411764705884	0.17647058823529416	0.0	0.23529411764705888	0.11764705882352944	-0.17647058823529416	-0.11764705882352944	0.4117647058823528	-0.05882352941176472	0.0	0.17647058823529416	0.17647058823529416	0.05882352941176472	0.4117647058823528	1.0	-0.05882352941176472
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	0.7988165680473374	0.45381526104417674	0.2608695652173913	0.45381526104417674	0.2515723270440251	0.08724832214765067	0.21757322175732208	0.1949860724233983	0.1952662721893491	0.1949860724233983	-0.14093959731543676	-0.17610062893081796	-0.005917159763313701	0.1952662721893491	0.3072100313479625	0.1952662721893491	0.2515723270440251	0.6118721461187215	0.7437185929648243	0.08724832214765067	0.2515723270440251	0.36802973977695164	0.1005291005291004	0.03773584905660356	-0.14093959731543676	-0.14093959731543676	0.08724832214765067	0.3398058252427183	-0.05882352941176472	1.0
